Source	Target	Weight	EdgeType	SourceType	TargetType
SOX21	NUDT12	0.000000	D	SOX21	chr5:102890000
SOX21	EFNA5	0.000000	D	SOX21	chr5:107000000
SOX21	HBEGF	0.000000	D	SOX21	chr5:139720000
SOX21	ANKHD1;ANKHD1-EIF4EBP3	0.000000	D	SOX21	chr5:139780000
SOX21	ANKH	0.000000	D	SOX21	chr5:14870000
SOX21	LCP2	0.000000	D	SOX21	chr5:169720000
SOX21	KCNMB1	0.000000	D	SOX21	chr5:169810000
SOX21	JMY	0.000000	D	SOX21	chr5:78530000
SOX21	PAPD4	0.000000	D	SOX21	chr5:78900000
SOX21	CETN3	0.000000	D	SOX21	chr5:89700000
SOX21	MBLAC2;POLR3G	0.000000	D	SOX21	chr5:89770000
SOX21	LYSMD3	0.000000	D	SOX21	chr5:89820000
DLX2	LCP2	0.000000	D	DLX2	chr5:169720000
DLX2	KCNMB1	0.000000	D	DLX2	chr5:169810000
SOX3	NUDT12	0.000000	D	SOX3	chr5:102890000
SOX3	EFNA5	0.000000	D	SOX3	chr5:107000000
SOX3	HBEGF	0.000000	D	SOX3	chr5:139720000
SOX3	ANKHD1;ANKHD1-EIF4EBP3	0.000000	D	SOX3	chr5:139780000
SOX3	ANKH	0.000000	D	SOX3	chr5:14870000
SOX3	LCP2	0.000000	D	SOX3	chr5:169720000
SOX3	KCNMB1	0.000000	D	SOX3	chr5:169810000
SOX3	JMY	0.000000	D	SOX3	chr5:78530000
SOX3	PAPD4	0.000000	D	SOX3	chr5:78900000
SOX3	CETN3	0.000000	D	SOX3	chr5:89700000
SOX3	MBLAC2;POLR3G	0.000000	D	SOX3	chr5:89770000
SOX3	LYSMD3	0.000000	D	SOX3	chr5:89820000
NUDT12	EFNA5	0.000000	U	chr5:102890000	chr5:107000000
NUDT12	ANKHD1;ANKHD1-EIF4EBP3	0.000000	U	chr5:102890000	chr5:139780000
NUDT12	LCP2	0.000000	U	chr5:102890000	chr5:169720000
NUDT12	KCNMB1	0.000000	U	chr5:102890000	chr5:169810000
NUDT12	MBLAC2;POLR3G	0.000000	U	chr5:102890000	chr5:89770000
NUDT12	LYSMD3	0.000000	U	chr5:102890000	chr5:89820000
EFNA5	HBEGF	0.000000	U	chr5:107000000	chr5:139720000
EFNA5	ANKHD1;ANKHD1-EIF4EBP3	0.000000	U	chr5:107000000	chr5:139780000
EFNA5	KCNMB1	0.000000	U	chr5:107000000	chr5:169810000
EFNA5	CETN3	0.000000	U	chr5:107000000	chr5:89700000
EFNA5	MBLAC2;POLR3G	0.000000	U	chr5:107000000	chr5:89770000
HBEGF	ANKH	0.000000	U	chr5:139720000	chr5:14870000
HBEGF	LCP2	0.000000	U	chr5:139720000	chr5:169720000
HBEGF	PAPD4	0.000000	U	chr5:139720000	chr5:78900000
HBEGF	MBLAC2;POLR3G	0.000000	U	chr5:139720000	chr5:89770000
HBEGF	LYSMD3	0.000000	U	chr5:139720000	chr5:89820000
ANKHD1;ANKHD1-EIF4EBP3	ANKH	0.000000	U	chr5:139780000	chr5:14870000
ANKHD1;ANKHD1-EIF4EBP3	LCP2	0.000000	U	chr5:139780000	chr5:169720000
ANKHD1;ANKHD1-EIF4EBP3	KCNMB1	0.000000	U	chr5:139780000	chr5:169810000
ANKHD1;ANKHD1-EIF4EBP3	JMY	0.000000	U	chr5:139780000	chr5:78530000
ANKHD1;ANKHD1-EIF4EBP3	MBLAC2;POLR3G	0.000000	U	chr5:139780000	chr5:89770000
ANKH	KCNMB1	0.000000	U	chr5:14870000	chr5:169810000
LCP2	KCNMB1	0.000000	U	chr5:169720000	chr5:169810000
LCP2	JMY	0.000000	U	chr5:169720000	chr5:78530000
LCP2	PAPD4	0.000000	U	chr5:169720000	chr5:78900000
LCP2	CETN3	0.000000	U	chr5:169720000	chr5:89700000
LCP2	LYSMD3	0.000000	U	chr5:169720000	chr5:89820000
KCNMB1	PAPD4	0.000000	U	chr5:169810000	chr5:78900000
KCNMB1	LYSMD3	0.000000	U	chr5:169810000	chr5:89820000
JMY	PAPD4	0.000000	U	chr5:78530000	chr5:78900000
JMY	CETN3	0.000000	U	chr5:78530000	chr5:89700000
JMY	MBLAC2;POLR3G	0.000000	U	chr5:78530000	chr5:89770000
PAPD4	CETN3	0.000000	U	chr5:78900000	chr5:89700000
PAPD4	LYSMD3	0.000000	U	chr5:78900000	chr5:89820000
CETN3	MBLAC2;POLR3G	0.000000	U	chr5:89700000	chr5:89770000
CETN3	LYSMD3	0.000000	U	chr5:89700000	chr5:89820000
MBLAC2;POLR3G	LYSMD3	0.000000	U	chr5:89770000	chr5:89820000
